Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
Below 20,Female,Tier 3 / Rural,West Bengal,Salaried Employee,100000-200000,Occasionally,Local exhibitions,Authenticity,Minimal modern,"Gift sets, Jackets / shrugs",Clutch,Cushion covers,Moderate embroidery,Light mirror work,Pastel shades,Office use,1000-2000,1000-2000,Above 3000,Sometimes,Buy 2 Get 1,No,Return policy,3,No,Likely
Below 20,Female,Tier 2,Maharashtra,Business Owner,25000-50000,Rarely,Instagram stores,Utility,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs",Sling bag,Cushion covers,Minimal embroidery,Light mirror work,Bright colors,Office use,Above 2000,2000-4000,1500-3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,5,No,Highly likely
21-30,Female,Tier 2,Tamil Nadu,Freelancer,100000-200000,Never,Retail stores,Brand,Minimal modern,"Jackets / shrugs, Gift sets",Clutch,Table runners,Heavy embroidery,No mirror work,Pastel shades,Festive use,Above 2000,2000-4000,1500-3000,No,Festival combo pack,Yes,Brand story,2,No,Likely
31-40,Male,Tier 2,Rajasthan,Student,50000-100000,Frequently,Local exhibitions,Brand,Traditional,"Laptop sleeves / utility pouches, Cushion covers",Office handbag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,Below 1000,Above 3000,Sometimes,Festival combo pack,No,Brand story,5,No,Unsure
Above 50,Female,Tier 2,Tamil Nadu,Other,Above 200000,Frequently,During travel,Design,Fusion,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Tote bag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Office use,Below 500,Below 1000,Below 500,Sometimes,Buy 2 Get 1,Yes,Reviews,5,No,Highly likely
41-50,Female,Metro,Tamil Nadu,Business Owner,Above 200000,Never,During travel,Design,Fusion,"Handbags, Jackets / shrugs",Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Pastel shades,Festive use,Below 500,1000-2000,Below 500,Strongly yes,Flat discount,Yes,Product images,1,Yes,Unsure
41-50,Female,Metro,Maharashtra,Salaried Employee,25000-50000,Never,Retail stores,Brand,Depends on product,"Handbags, Gift sets, Jackets / shrugs",Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Office use,1000-2000,Below 1000,Above 3000,Strongly yes,Festival combo pack,Yes,Product images,5,No,Highly likely
31-40,Male,Tier 2,Rajasthan,Business Owner,Below 25000,Frequently,Retail stores,Brand,Depends on product,"Cushion covers, Handbags",Clutch,Wall décor textile,Minimal embroidery,No mirror work,Pastel shades,Office use,Below 500,1000-2000,500-1500,Sometimes,Buy 2 Get 1,Depends on reviews,Product images,4,Yes,Highly likely
Below 20,Male,Tier 2,Maharashtra,Business Owner,Below 25000,Never,Retail stores,Price,Traditional,Laptop sleeves / utility pouches,Sling bag,Table runners,Heavy embroidery,No mirror work,Black / neutral,Festive use,500-1000,Below 1000,Below 500,No,Free shipping,No,Brand story,2,Yes,Likely
21-30,Female,Metro,Rajasthan,Business Owner,100000-200000,Occasionally,Online marketplaces,Design,Fusion,"Gift sets, Cushion covers",Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Pastel shades,Daily use,Above 2000,Below 1000,1500-3000,Sometimes,Flat discount,Yes,Return policy,5,No,Unsure
41-50,Female,Tier 3 / Rural,West Bengal,Other,50000-100000,Frequently,Retail stores,Brand,Traditional,"Gift sets, Jackets / shrugs",Office handbag,Wall décor textile,Moderate embroidery,No mirror work,Earth tones,Gifting,1000-2000,Above 4000,Above 3000,Strongly yes,Buy 2 Get 1,Depends on reviews,Reviews,5,Yes,Likely
31-40,Female,Tier 1,Telangana,Homemaker,Below 25000,Never,During travel,Design,Fusion,Cushion covers,Office handbag,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Gifting,Below 500,1000-2000,Below 500,Sometimes,Festival combo pack,Depends on reviews,Brand story,2,Yes,Unsure
Below 20,Female,Tier 1,Maharashtra,Salaried Employee,25000-50000,Occasionally,Retail stores,Price,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Earth tones,Gifting,Below 500,1000-2000,Above 3000,No,Flat discount,No,Product images,3,No,Unsure
Above 50,Female,Tier 2,Gujarat,Salaried Employee,100000-200000,Never,Online marketplaces,Brand,Depends on product,Jackets / shrugs,Office handbag,Cushion covers,Moderate embroidery,No mirror work,Black / neutral,Weddings,Above 2000,1000-2000,Above 3000,Sometimes,Buy 2 Get 1,No,Brand story,4,No,Unsure
31-40,Female,Metro,Tamil Nadu,Other,25000-50000,Occasionally,During travel,Utility,Depends on product,"Jackets / shrugs, Handbags, Cushion covers",Tote bag,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Weddings,Below 500,2000-4000,Above 3000,No,Festival combo pack,Depends on reviews,Reviews,4,No,Unlikely
Below 20,Male,Tier 3 / Rural,Rajasthan,Business Owner,100000-200000,Rarely,Online marketplaces,Design,Depends on product,Jackets / shrugs,Sling bag,Wall décor textile,Heavy embroidery,No mirror work,Bright colors,Office use,500-1000,Below 1000,1500-3000,Strongly yes,Festival combo pack,Yes,Brand story,2,Yes,Unsure
31-40,Female,Tier 3 / Rural,Gujarat,Homemaker,Below 25000,Frequently,Instagram stores,Brand,Depends on product,"Jackets / shrugs, Handbags",Clutch,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Daily use,Above 2000,1000-2000,Below 500,Sometimes,Buy 2 Get 1,Yes,Brand story,4,No,Likely
Above 50,Female,Tier 3 / Rural,Maharashtra,Other,100000-200000,Rarely,Local exhibitions,Utility,Fusion,"Jackets / shrugs, Gift sets",Office handbag,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Festive use,500-1000,2000-4000,Below 500,Strongly yes,Free shipping,No,Reviews,3,Yes,Highly likely
21-30,Male,Tier 2,Tamil Nadu,Freelancer,25000-50000,Occasionally,Retail stores,Price,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Table runners,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Below 500,Below 1000,Above 3000,Strongly yes,Flat discount,Yes,Reviews,2,Yes,Likely
21-30,Female,Tier 1,Telangana,Student,Below 25000,Never,During travel,Brand,Fusion,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Pastel shades,Festive use,Below 500,1000-2000,Below 500,Strongly yes,Buy 2 Get 1,No,Product images,1,No,Highly likely
31-40,Male,Tier 1,Tamil Nadu,Other,100000-200000,Rarely,Instagram stores,Authenticity,Depends on product,"Cushion covers, Gift sets, Jackets / shrugs",Office handbag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Office use,1000-2000,1000-2000,Above 3000,Sometimes,Festival combo pack,Yes,Reviews,2,No,Unlikely
21-30,Female,Tier 1,Delhi,Homemaker,Below 25000,Occasionally,Retail stores,Authenticity,Fusion,"Cushion covers, Gift sets, Handbags",Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Above 4000,500-1500,Strongly yes,Free shipping,Yes,Reviews,1,Yes,Highly likely
21-30,Female,Tier 3 / Rural,West Bengal,Homemaker,25000-50000,Rarely,Local exhibitions,Brand,Minimal modern,"Laptop sleeves / utility pouches, Handbags, Gift sets",Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Weddings,Above 2000,2000-4000,Below 500,Sometimes,Buy 2 Get 1,No,Return policy,3,No,Likely
31-40,Female,Tier 3 / Rural,Karnataka,Freelancer,Above 200000,Frequently,During travel,Design,Depends on product,"Gift sets, Handbags",Office handbag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Daily use,Above 2000,Below 1000,Above 3000,Sometimes,Buy 2 Get 1,No,Return policy,5,Yes,Highly likely
Above 50,Female,Tier 1,Maharashtra,Other,50000-100000,Never,Retail stores,Price,Minimal modern,"Cushion covers, Jackets / shrugs",Office handbag,Table runners,Moderate embroidery,No mirror work,Black / neutral,Weddings,500-1000,1000-2000,Above 3000,Strongly yes,Free shipping,No,Return policy,1,Yes,Unsure
21-30,Female,Tier 2,Maharashtra,Salaried Employee,50000-100000,Frequently,Online marketplaces,Brand,Depends on product,"Laptop sleeves / utility pouches, Cushion covers, Handbags",Tote bag,Decorative organizers,Moderate embroidery,Light mirror work,Earth tones,Weddings,1000-2000,2000-4000,500-1500,Strongly yes,Free shipping,Yes,Product images,3,No,Unlikely
Above 50,Female,Metro,Gujarat,Other,100000-200000,Occasionally,Retail stores,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Gift sets",Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Earth tones,Gifting,1000-2000,2000-4000,1500-3000,Sometimes,Free shipping,No,Return policy,4,Yes,Unsure
31-40,Female,Tier 2,West Bengal,Business Owner,100000-200000,Frequently,Online marketplaces,Design,Fusion,"Laptop sleeves / utility pouches, Gift sets, Cushion covers",Clutch,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Weddings,Below 500,2000-4000,500-1500,No,Flat discount,Depends on reviews,Product images,1,No,Unlikely
41-50,Female,Tier 1,Gujarat,Freelancer,100000-200000,Never,Online marketplaces,Price,Depends on product,Jackets / shrugs,Tote bag,Wall décor textile,Heavy embroidery,No mirror work,Pastel shades,Daily use,Above 2000,2000-4000,Above 3000,Sometimes,Flat discount,Yes,Return policy,1,No,Likely
Above 50,Male,Tier 3 / Rural,West Bengal,Homemaker,50000-100000,Rarely,Instagram stores,Brand,Minimal modern,Cushion covers,Office handbag,Cushion covers,Heavy embroidery,Strong mirror work,Bright colors,Office use,Below 500,Above 4000,1500-3000,Strongly yes,Buy 2 Get 1,Yes,Product images,5,Yes,Unsure
41-50,Male,Tier 1,Telangana,Student,50000-100000,Occasionally,Retail stores,Brand,Fusion,Laptop sleeves / utility pouches,Clutch,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Weddings,Above 2000,1000-2000,Above 3000,Strongly yes,Festival combo pack,No,Product images,2,No,Unlikely
Below 20,Female,Tier 2,West Bengal,Other,Below 25000,Occasionally,Online marketplaces,Brand,Depends on product,"Handbags, Gift sets",Sling bag,Cushion covers,Heavy embroidery,Strong mirror work,Bright colors,Daily use,1000-2000,Above 4000,500-1500,No,Free shipping,Yes,Product images,1,Yes,Unsure
Below 20,Female,Tier 1,Rajasthan,Business Owner,100000-200000,Never,Online marketplaces,Design,Minimal modern,Laptop sleeves / utility pouches,Clutch,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Office use,Below 500,Below 1000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Brand story,1,Yes,Unsure
31-40,Female,Tier 2,Gujarat,Other,Above 200000,Frequently,Retail stores,Authenticity,Depends on product,Jackets / shrugs,Tote bag,Cushion covers,Moderate embroidery,No mirror work,Black / neutral,Festive use,Below 500,Above 4000,Below 500,No,Buy 2 Get 1,Depends on reviews,Return policy,5,Yes,Highly likely
41-50,Male,Tier 1,Tamil Nadu,Other,Below 25000,Rarely,Retail stores,Design,Traditional,"Cushion covers, Jackets / shrugs, Handbags",Office handbag,Table runners,Minimal embroidery,No mirror work,Bright colors,Festive use,1000-2000,Below 1000,Below 500,Sometimes,Buy 2 Get 1,Depends on reviews,Brand story,5,No,Likely
31-40,Male,Metro,Telangana,Homemaker,50000-100000,Never,Local exhibitions,Brand,Fusion,Handbags,Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Black / neutral,Gifting,1000-2000,Below 1000,1500-3000,Strongly yes,Festival combo pack,No,Reviews,5,No,Likely
Below 20,Male,Metro,West Bengal,Homemaker,Above 200000,Occasionally,Local exhibitions,Design,Depends on product,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Sling bag,Table runners,Moderate embroidery,Light mirror work,Black / neutral,Gifting,1000-2000,Above 4000,Above 3000,No,Flat discount,Depends on reviews,Brand story,3,No,Highly likely
31-40,Male,Tier 3 / Rural,Tamil Nadu,Student,25000-50000,Never,Retail stores,Brand,Minimal modern,Laptop sleeves / utility pouches,Clutch,Cushion covers,Moderate embroidery,Light mirror work,Black / neutral,Gifting,1000-2000,2000-4000,1500-3000,No,Buy 2 Get 1,Depends on reviews,Reviews,1,No,Unlikely
21-30,Male,Tier 3 / Rural,Tamil Nadu,Other,Below 25000,Rarely,Retail stores,Price,Traditional,"Laptop sleeves / utility pouches, Handbags",Clutch,Cushion covers,Moderate embroidery,No mirror work,Pastel shades,Gifting,Above 2000,2000-4000,500-1500,No,Buy 2 Get 1,No,Brand story,5,Yes,Unsure
21-30,Male,Metro,Gujarat,Salaried Employee,100000-200000,Frequently,Local exhibitions,Utility,Fusion,Cushion covers,Clutch,Table runners,Heavy embroidery,Strong mirror work,Black / neutral,Weddings,Below 500,Below 1000,Below 500,Strongly yes,Flat discount,No,Reviews,5,Yes,Unsure
31-40,Female,Tier 3 / Rural,Gujarat,Business Owner,25000-50000,Frequently,During travel,Utility,Traditional,"Gift sets, Cushion covers, Handbags",Clutch,Decorative organizers,Heavy embroidery,No mirror work,Bright colors,Festive use,1000-2000,Above 4000,1500-3000,Strongly yes,Flat discount,Depends on reviews,Product images,2,No,Highly likely
21-30,Female,Tier 2,Gujarat,Homemaker,Above 200000,Frequently,During travel,Utility,Fusion,"Gift sets, Laptop sleeves / utility pouches, Cushion covers",Sling bag,Cushion covers,Minimal embroidery,Light mirror work,Bright colors,Gifting,1000-2000,Above 4000,Below 500,Strongly yes,Free shipping,Yes,Return policy,2,No,Very unlikely
31-40,Female,Tier 3 / Rural,Tamil Nadu,Homemaker,100000-200000,Never,Instagram stores,Utility,Fusion,"Laptop sleeves / utility pouches, Gift sets, Jackets / shrugs",Clutch,Wall décor textile,Heavy embroidery,No mirror work,Pastel shades,Daily use,1000-2000,Below 1000,500-1500,No,Buy 2 Get 1,Depends on reviews,Brand story,4,Yes,Very unlikely
Below 20,Female,Metro,Karnataka,Student,Below 25000,Frequently,Local exhibitions,Authenticity,Minimal modern,Laptop sleeves / utility pouches,Clutch,Wall décor textile,Moderate embroidery,Light mirror work,Bright colors,Gifting,1000-2000,1000-2000,500-1500,Sometimes,Free shipping,No,Reviews,4,No,Unsure
31-40,Female,Metro,West Bengal,Business Owner,50000-100000,Occasionally,Instagram stores,Price,Depends on product,"Cushion covers, Gift sets, Laptop sleeves / utility pouches",Tote bag,Wall décor textile,Heavy embroidery,Strong mirror work,Black / neutral,Office use,Above 2000,Above 4000,Below 500,No,Flat discount,Depends on reviews,Return policy,1,No,Highly likely
41-50,Female,Tier 1,Delhi,Business Owner,50000-100000,Occasionally,Retail stores,Brand,Traditional,"Cushion covers, Laptop sleeves / utility pouches",Sling bag,Decorative organizers,Moderate embroidery,Strong mirror work,Earth tones,Festive use,500-1000,Above 4000,Above 3000,Sometimes,Free shipping,No,Return policy,2,Yes,Unlikely
41-50,Male,Tier 2,Rajasthan,Other,50000-100000,Occasionally,During travel,Brand,Minimal modern,Jackets / shrugs,Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Earth tones,Daily use,Below 500,1000-2000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Product images,2,No,Unlikely
41-50,Male,Tier 1,West Bengal,Salaried Employee,100000-200000,Occasionally,Retail stores,Brand,Depends on product,"Cushion covers, Gift sets, Jackets / shrugs",Office handbag,Table runners,Minimal embroidery,No mirror work,Pastel shades,Festive use,500-1000,Above 4000,500-1500,No,Festival combo pack,Yes,Product images,1,Yes,Likely
Below 20,Female,Tier 1,Maharashtra,Other,Below 25000,Rarely,Instagram stores,Price,Fusion,Jackets / shrugs,Clutch,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Daily use,1000-2000,1000-2000,Above 3000,Sometimes,Festival combo pack,Depends on reviews,Reviews,3,Yes,Unsure
41-50,Male,Metro,Maharashtra,Salaried Employee,Above 200000,Frequently,Retail stores,Authenticity,Traditional,"Gift sets, Handbags, Laptop sleeves / utility pouches",Tote bag,Wall décor textile,Heavy embroidery,Strong mirror work,Bright colors,Weddings,1000-2000,Below 1000,Above 3000,No,Flat discount,No,Reviews,5,No,Unlikely
41-50,Prefer not to say,Metro,Gujarat,Other,100000-200000,Never,Online marketplaces,Authenticity,Minimal modern,"Gift sets, Cushion covers",Clutch,Cushion covers,Heavy embroidery,Light mirror work,Bright colors,Office use,Above 2000,2000-4000,500-1500,Strongly yes,Flat discount,No,Brand story,1,No,Unlikely
Above 50,Female,Metro,Rajasthan,Homemaker,25000-50000,Rarely,Retail stores,Utility,Depends on product,Handbags,Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Office use,Below 500,Below 1000,500-1500,Sometimes,Buy 2 Get 1,Yes,Product images,5,No,Highly likely
Above 50,Male,Tier 1,West Bengal,Student,100000-200000,Occasionally,Instagram stores,Authenticity,Traditional,"Gift sets, Jackets / shrugs, Cushion covers",Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,1000-2000,500-1500,Strongly yes,Free shipping,Depends on reviews,Product images,1,No,Likely
41-50,Female,Metro,Maharashtra,Business Owner,Below 25000,Occasionally,During travel,Brand,Traditional,Laptop sleeves / utility pouches,Office handbag,Decorative organizers,Minimal embroidery,Strong mirror work,Black / neutral,Office use,1000-2000,Above 4000,1500-3000,No,Flat discount,Depends on reviews,Product images,1,Yes,Unlikely
Above 50,Female,Tier 3 / Rural,Rajasthan,Business Owner,Above 200000,Frequently,During travel,Design,Fusion,Handbags,Sling bag,Decorative organizers,Heavy embroidery,No mirror work,Bright colors,Weddings,500-1000,2000-4000,1500-3000,Sometimes,Flat discount,Yes,Brand story,2,No,Likely
Below 20,Male,Tier 1,Delhi,Freelancer,50000-100000,Rarely,During travel,Brand,Depends on product,"Cushion covers, Handbags, Gift sets",Tote bag,Wall décor textile,Moderate embroidery,Light mirror work,Black / neutral,Daily use,1000-2000,2000-4000,Below 500,Sometimes,Buy 2 Get 1,No,Reviews,2,Yes,Unsure
Below 20,Female,Tier 1,Karnataka,Salaried Employee,50000-100000,Occasionally,During travel,Design,Traditional,"Handbags, Jackets / shrugs",Sling bag,Table runners,Moderate embroidery,Light mirror work,Pastel shades,Office use,1000-2000,1000-2000,1500-3000,Sometimes,Buy 2 Get 1,Yes,Product images,4,Yes,Highly likely
